source_id,source_name,category,owner_org,geography,source_type,signal_type,suggested_output_route,priority_tier,automation_feasibility,access_status,final_package_status,duplicate_status,next_action,notes,evidence_source
govbid,GovBid,A_active_tender,GovBid,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
merx,MERX,A_active_tender,MERX,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
bc_municipal_gis_directory,BC Municipal GIS Directory,B_dev_applications,BC Municipal GIS Directory,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
city_of_langley_development_portal,City of Langley Development Portal,B_dev_applications,City of Langley Development Portal,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
maple_ridge_active_development_applications,Maple Ridge Active Development Applications,B_dev_applications,Maple Ridge Active Development Applications,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
pitt_meadows_current_developments,Pitt Meadows Current Developments,B_dev_applications,Pitt Meadows Current Developments,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
surrey_capital_futureworks_layers,Surrey Capital / FutureWorks Layers,B_dev_applications,Surrey Capital / FutureWorks Layers,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
surrey_development_applications_open_data,Surrey Development Applications / Open Data,B_dev_applications,Surrey Development Applications / Open Data,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
surrey_gis_futureworks,Surrey GIS / FutureWorks,B_dev_applications,Surrey GIS / FutureWorks,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
township_of_langley_development_activity,Township of Langley Development Activity,B_dev_applications,Township of Langley Development Activity,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
abbotsford_development_open_data,Abbotsford Development / Open Data,B_dev_applications,Abbotsford Development / Open Data,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
burnaby_open_data_capital_projects,Burnaby Open Data / Capital Projects,B_dev_applications,Burnaby Open Data / Capital Projects,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
chilliwack_development_planning,Chilliwack Development / Planning,B_dev_applications,Chilliwack Development / Planning,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
coquitlam_development_information_portal,Coquitlam Development Information Portal,B_dev_applications,Coquitlam Development Information Portal,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
delta_current_development_applications,Delta Current Development Applications,B_dev_applications,Delta Current Development Applications,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
new_westminster_open_data,New Westminster Open Data,B_dev_applications,New Westminster Open Data,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
richmond_current_development_applications,Richmond Current Development Applications,B_dev_applications,Richmond Current Development Applications,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
vancouver_issued_building_permits,Vancouver Issued Building Permits,B_dev_applications,Vancouver Issued Building Permits,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
vancouver_open_data,Vancouver Open Data,B_dev_applications,Vancouver Open Data,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
city_of_north_vancouver,City of North Vancouver,B_dev_applications,City of North Vancouver,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
district_of_north_vancouver_geoweb,District of North Vancouver GEOweb,B_dev_applications,District of North Vancouver GEOweb,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
mission_development_planning,Mission Development / Planning,B_dev_applications,Mission Development / Planning,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
port_moody_development_planning,Port Moody Development / Planning,B_dev_applications,Port Moody Development / Planning,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
small_municipalities_village_sources,Small Municipalities / Village Sources,B_dev_applications,Small Municipalities / Village Sources,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
west_vancouver_development_planning,West Vancouver Development / Planning,B_dev_applications,West Vancouver Development / Planning,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
white_rock_development_planning,White Rock Development / Planning,B_dev_applications,White Rock Development / Planning,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
surrey_planning_reports_odi_cosmos,Surrey Planning Reports / ODI / COSMOS,C_council_agendas,Surrey Planning Reports / ODI / COSMOS,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
maple_ridge_council_agendas,Maple Ridge Council Agendas,C_council_agendas,Maple Ridge Council Agendas,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
municipal_council_committee_agendas,Municipal Council / Committee Agendas,C_council_agendas,Municipal Council / Committee Agendas,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
bc_major_projects_inventory,BC Major Projects Inventory,D_capital_future_infrastructure,BC Major Projects Inventory,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
bc_moti_capital_service_plan,BC MoTI Capital / Service Plan,D_capital_future_infrastructure,BC MoTI Capital / Service Plan,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
metro_vancouver_capital_program,Metro Vancouver — Capital Program,D_capital_future_infrastructure,Metro Vancouver — Capital Program,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
translink_capital_investment_plan,TransLink Capital / Investment Plan,D_capital_future_infrastructure,TransLink Capital / Investment Plan,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
infrastructure_bc_major_projects,Infrastructure BC Major Projects,D_capital_future_infrastructure,Infrastructure BC Major Projects,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
municipal_capital_plans_financial_plans,Municipal Capital Plans / Financial Plans,D_capital_future_infrastructure,Municipal Capital Plans / Financial Plans,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
bc_budget_capital_plan,BC Budget Capital Plan,D_capital_future_infrastructure,BC Budget Capital Plan,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
bc_hydro_capital_project_pipeline,BC Hydro Capital / Project Pipeline,D_capital_future_infrastructure,BC Hydro Capital / Project Pipeline,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
infrastructure_canada_public_transit_fund,Infrastructure Canada / Public Transit Fund,D_capital_future_infrastructure,Infrastructure Canada / Public Transit Fund,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
constructconnect_daily_commercial_news,ConstructConnect / Daily Commercial News,E_paid_intelligence,ConstructConnect / Daily Commercial News,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
dodge_construction_network,Dodge Construction Network,E_paid_intelligence,Dodge Construction Network,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
leadmanager,LeadManager,E_paid_intelligence,LeadManager,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
permitsca,PermitsCA,E_paid_intelligence,PermitsCA,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
planhub,PlanHub,E_paid_intelligence,PlanHub,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
buildingconnected_gc_itbs,BuildingConnected / GC ITBs,F_gc_developer_invites,BuildingConnected / GC ITBs,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
estimator_inbox_auto_forward,Estimator Inbox Auto-Forward,F_gc_developer_invites,Estimator Inbox Auto-Forward,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
known_gc_developer_subcontractor_portals,Known GC / Developer Subcontractor Portals,F_gc_developer_invites,Known GC / Developer Subcontractor Portals,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
procore_gc_bid_invitations,Procore GC Bid Invitations,F_gc_developer_invites,Procore GC Bid Invitations,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
smartbid_isqft_tradetapp,SmartBid / iSqFt / TradeTapp,F_gc_developer_invites,SmartBid / iSqFt / TradeTapp,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
developer_announcements_land_assembly,Developer Announcements / Land Assembly,F_gc_developer_invites,Developer Announcements / Land Assembly,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
journal_of_commerce_top_bc_projects,Journal of Commerce / Top BC Projects,G_news_early_signal,Journal of Commerce / Top BC Projects,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
daily_hive_urbanized,Daily Hive Urbanized,G_news_early_signal,Daily Hive Urbanized,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
sitenews,SiteNews,G_news_early_signal,SiteNews,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
storeys,Storeys,G_news_early_signal,Storeys,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
business_in_vancouver_western_investor,Business in Vancouver / Western Investor,G_news_early_signal,Business in Vancouver / Western Investor,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
client_fn_port_pr_channels,Client / FN / Port PR Channels,G_news_early_signal,Client / FN / Port PR Channels,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
daily_commercial_news,Daily Commercial News,G_news_early_signal,Daily Commercial News,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
local_news_community_papers,Local News / Community Papers,G_news_early_signal,Local News / Community Papers,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
municipal_news_press_releases,Municipal News / Press Releases,G_news_early_signal,Municipal News / Press Releases,BC / Lower Mainland,varies,varies,varies,2,to_assess,to_verify,not_in_final_as_source_register_row,baseline_existing_concept_preserve,"preserve, dedupe against final coded sources, then decide connector/workflow",Existing 68-source baseline from earlier Source_Register; keep visible so it is not lost.,existing_68_source_register
fraser_health_procurement,Fraser Health procurement / bid opportunities,A_active_tender,Fraser Health,BC / Lower Mainland,HTML listing / portal / to_verify,active tender,Active_Tenders,2,to_assess,to_verify,not_in_final_coded_sources,new_candidate_to_dedupe,verify official procurement page and platform; add alert/manual workflow if no API,"Health authority procurement/capital sources can include site works, utilities, parking, enabling works, and civil packages.",candidate_expansion_seed
vancouver_coastal_health_procurement,Vancouver Coastal Health procurement / bid opportunities,A_active_tender,Vancouver Coastal Health,BC / Lower Mainland,HTML listing / portal / to_verify,active tender,Active_Tenders,2,to_assess,to_verify,not_in_final_coded_sources,new_candidate_to_dedupe,verify official procurement page and platform; add alert/manual workflow if no API,"Health authority procurement/capital sources can include site works, utilities, parking, enabling works, and civil packages.",candidate_expansion_seed
provincial_health_services_authority_procurement,Provincial Health Services Authority procurement / bid opportunities,A_active_tender,Provincial Health Services Authority,BC / Lower Mainland,HTML listing / portal / to_verify,active tender,Active_Tenders,2,to_assess,to_verify,not_in_final_coded_sources,new_candidate_to_dedupe,verify official procurement page and platform; add alert/manual workflow if no API,"Health authority procurement/capital sources can include site works, utilities, parking, enabling works, and civil packages.",candidate_expansion_seed
providence_health_care_procurement,Providence Health Care procurement / bid opportunities,A_active_tender,Providence Health Care,BC / Lower Mainland,HTML listing / portal / to_verify,active tender,Active_Tenders,2,to_assess,to_verify,not_in_final_coded_sources,new_candidate_to_dedupe,verify official procurement page and platform; add alert/manual workflow if no API,"Health authority procurement/capital sources can include site works, utilities, parking, enabling works, and civil packages.",candidate_expansion_seed
bc_cancer_procurement,BC Cancer procurement / bid opportunities,A_active_tender,BC Cancer,BC / Lower Mainland,HTML listing / portal / to_verify,active tender,Active_Tenders,2,to_assess,to_verify,not_in_final_coded_sources,new_candidate_to_dedupe,verify official procurement page and platform; add alert/manual workflow if no API,"Health authority procurement/capital sources can include site works, utilities, parking, enabling works, and civil packages.",candidate_expansion_seed
bc_children_s_hospital_bc_women_s_hospital_redevelopment_pro,BC Children's Hospital / BC Women's Hospital Redevelopment procurement / bid opportunities,A_active_tender,BC Children's Hospital / BC Women's Hospital Redevelopment,BC / Lower Mainland,HTML listing / portal / to_verify,active tender,Active_Tenders,2,to_assess,to_verify,not_in_final_coded_sources,new_candidate_to_dedupe,verify official procurement page and platform; add alert/manual workflow if no API,"Health authority procurement/capital sources can include site works, utilities, parking, enabling works, and civil packages.",candidate_expansion_seed
fraser_health_capital_plan,Fraser Health capital plan / major projects,D_capital_future_infrastructure,Fraser Health,BC / Lower Mainland,PDF / HTML / board report / to_verify,future project / capital plan,Future_Projects,2,manual_or_pdf_p3,public_to_verify,not_in_final_coded_sources,new_candidate_to_dedupe,verify capital plan/project page and extract civil-relevant pipeline,Health capital plans/board reports can signal future civil/enabling works around hospitals and clinics.,candidate_expansion_seed
vancouver_coastal_health_capital_plan,Vancouver Coastal Health capital plan / major projects,D_capital_future_infrastructure,Vancouver Coastal Health,BC / Lower Mainland,PDF / HTML / board report / to_verify,future project / capital plan,Future_Projects,2,manual_or_pdf_p3,public_to_verify,not_in_final_coded_sources,new_candidate_to_dedupe,verify capital plan/project page and extract civil-relevant pipeline,Health capital plans/board reports can signal future civil/enabling works around hospitals and clinics.,candidate_expansion_seed
provincial_health_services_authority_capital_plan,Provincial Health Services Authority capital plan / major projects,D_capital_future_infrastructure,Provincial Health Services Authority,BC / Lower Mainland,PDF / HTML / board report / to_verify,future project / capital plan,Future_Projects,2,manual_or_pdf_p3,public_to_verify,not_in_final_coded_sources,new_candidate_to_dedupe,verify capital plan/project page and extract civil-relevant pipeline,Health capital plans/board reports can signal future civil/enabling works around hospitals and clinics.,candidate_expansion_seed
