proposed_source_id,source_name,source_category,owner_organization,geography_coverage,source_type,official_url,example_relevant_page_or_record_url,likely_signal_type,suggested_fetch_type,suggested_output_route,access_status,priority_tier,notes
SRC-079,Port of Vancouver active procurement / MERX workflow,H_utilities_crown_port_airport,Vancouver Fraser Port Authority,Metro Vancouver / Fraser River / Vancouver / Lower Mainland,MERX / HTML listing,https://www.merx.com/vfpa,https://www.portvancouver.com/doing-business/procurement/,active tender,api_json / html_listing,Active_Tenders,public_with_filters / public,1,Requires MERX civil filtering to isolate port earthworks from maritime operations. | N/A
SRC-080,YVR active bidding / airport suppliers / Bonfire procurement endpoint,H_utilities_crown_port_airport,Vancouver Airport Authority,Richmond (Sea Island) / Richmond (YVR) / YVR region,Bonfire / HTML listing / HTML / PDF list,https://yvr.bonfirehub.ca/portal/,https://www.yvr.ca/en/about-yvr/doing-business-with-yvr/bids-and-tenders; https://www.yvr.ca/en/business/work-with-yvr/airport-suppliers; https://www.yvr.ca/en/business/work-with-yvr/airport-suppliers/single-source-contracts; https://www.yvr.ca/en/business/work-with-yvr,active tender / active tender / future project / award notice / early signal,api_json / html_listing / pdf_manual,Active_Tenders,public / public_with_filters,1,High-value automated feed for specialized airport heavy civil works. | Major source of civil opportunities at YVR. | Separate workflow from capital master plan and not covered by BC Bid concept alone.
SRC-081,BCIT active procurement / Bonfire / competitive procurement,J_institutional_public_sector,British Columbia Institute of Technology,Burnaby / Lower Mainland / Burnaby / Burnaby / Richmond / Lower Mainland,Bonfire / HTML listing,https://bcit.bonfirehub.ca/opportunities,https://www.bcit.ca/financial-services/procurement/current-opportunities/; https://www.bcit.ca/supply/supplier/competitions/,active tender,api_json / html_listing,Active_Tenders,public,1,Pulls direct civil and quantity surveyor tenders for health science center and site prep. | Lower priority than municipal / utility pages. | N/A
SRC-082,Fraser Health / Lower Mainland Health Authority facilities bids and business opportunities,J_institutional_public_sector,Fraser Health,"Fraser Valley / Lower Mainland / Fraser Health region (Surrey, Langley, etc.) / Lower Mainland and BC health facilities",bidsandtenders / HTML listing,https://fraserhealth.bidsandtenders.ca/,https://www.fraserhealth.ca/about-us/procurement; https://www.fraserhealth.ca/about-us/business-opportunities/; https://fraserhealth.bidsandtenders.ca/Module/Tenders/en/Tender/Detail/97f97494-1dc5-4d6b-8805-7a5188396296/; https://fraserhealth.bidsandtenders.ca/Module/Tenders/en,active tender / Tender listing,ods_v21 / html_listing,Active_Tenders,public / public_with_filters,1,Distinct from generic BC Bid; allows direct API monitoring of health infrastructure. | Bidsandtenders Municipal entry does not cover health authorities; this is sector-specific and high-value. | Good for future inclusion lists even when direct civil scopes are smaller.
SRC-083,KPU Procurement Services / current opportunities,J_institutional_public_sector,Kwantlen Polytechnic University,Surrey / Langley / Richmond / Surrey / Langley / Richmond / Cloverdale,HTML listing,https://www.kpu.ca/procurement/current-opportunities,https://www.kpu.ca/procurement; https://www.kpu.ca/procurement/Vendor-Help,active tender,html_listing,Active_Tenders,public,1,"Good Langley / Surrey institutional watch source. | Some competitions route through BC Bid or KPU procurement portal, but owner page is still useful."
SRC-084,Langley School District purchasing and tenders,J_institutional_public_sector,Langley School District (SD35),Langley / Township of Langley / City of Langley,HTML listing / BC Bid filter,https://www.sd35.bc.ca/board-of-education/administration/purchasing-tenders/,https://www.sd35.bc.ca/purchasing-logistics,active tender,html_listing,Active_Tenders,public,1,"Moderate value; keep it behind municipal and utility sources. | Mostly a BC Bid routing page, but still worth keeping as owner-specific workflow."
SRC-085,Surrey School District procurement / purchasing endpoint,J_institutional_public_sector,Surrey School District (SD36),Surrey / White Rock / Surrey,HTML listing / BC Bid filter,https://www.surreyschools.ca/procurement,https://www.surreyschools.ca/purchasing/about-us; https://www.surreyschools.ca/purchasing,active tender,html_listing,Active_Tenders,public,1,"Lower civil hit-rate than municipalities; keep keyword filters strict. | Mainly points to BC Bid, but owner page is still worth adding because it gives district-specific workflow and contacts."
SRC-086,UBC procurement / Bonfire / current construction opportunities,J_institutional_public_sector,University of British Columbia,Metro Vancouver (Point Grey) / Vancouver / UBC Vancouver + Okanagan (focus Vancouver),Bonfire / HTML listing / Bonfire + BC Bid / BC Bid filter,https://ubc.bonfirehub.ca/portal/,https://supplymanagement.ubc.ca/current-opportunities; https://finance.ubc.ca/doing-business-with-ubc/,active tender,api_json / html_listing,Active_Tenders,public / public info + login,1,Requires free Bonfire vendor registration to pull secured civil drawing packages. | Introduces Bonfire into taxonomy as distinct platform/owner combination. | Treat as secondary source due broad scope mix.
SRC-087,Musqueam Public Works / active bids,I_first_nations_indigenous_infrastructure,Musqueam Indian Band,Metro Vancouver / Southlands,HTML listing,https://www.musqueam.bc.ca/departments/land-capital-and-housing/public-works/,https://www.musqueam.bc.ca/rfp-strategic-engagement-oct-2024/,active tender,html_listing,Active_Tenders,public,1,Also tracks joint Musqueam Creek flood conveyance berm projects. | N/A
SRC-088,Urban Systems Civil Bids & Tenders Portal,K_private_developer_pipeline,Urban Systems Ltd.,British Columbia / Fraser Valley,bidsandtenders,https://urbansystems.bidsandtenders.ca/,https://urbansystems.bidsandtenders.ca/Module/Tenders/en/Tender/Detail/a63226ff-9664-42b5-be4b-aac28a6f6513,active tender,ods_v21,Active_Tenders,public,1,Consultant-managed tender board dedicated entirely to heavy civil and earthworks. | N/A
SRC-089,BC Hydro Planned Procurement / future contracting page,D_capital_future_infrastructure,BC Hydro,BC,HTML listing,https://www.bchydro.com/about/suppliers/contracting/planned-procurement.html,,procurement forecast,html_listing,Future_Projects,public,1,
SRC-090,City of Langley Capital Projects,D_capital_future_infrastructure,City of Langley,City of Langley,HTML listing,https://www.langleycity.ca/city-services/engineering/capital-projects,,future project / active,html_listing,Future_Projects,public,1,
SRC-091,Maple Ridge Capital Projects,D_capital_future_infrastructure,City of Maple Ridge,Maple Ridge,HTML listing,https://www.mapleridge.ca/engineering/capital-projects,,future project / active,html_listing,Future_Projects,public,1,
SRC-092,Metro Vancouver 2025-2029 Financial Plan,D_capital_future_infrastructure,Metro Vancouver,Metro Vancouver,PDF,https://metrovancouver.org/about-us/Documents/financial-plan-2025-2029.pdf,,capital plan / procurement forecast,pdf_manual,Future_Projects,public,1,Deepens existing Metro Vancouver capital entry with formal financial plan as distinct document source.
SRC-093,Metro Vancouver Construction Projects current/upcoming,D_capital_future_infrastructure,Metro Vancouver,Metro Vancouver,HTML listing,https://www.metrovancouver.org/services/construction-projects,,future project / active,html_listing,Future_Projects,public,1,Existing source 8 is procurement; 42 is capital plan PDF. This is a dynamic project listing.
SRC-094,Pitt Meadows Capital Projects,D_capital_future_infrastructure,City of Pitt Meadows,Pitt Meadows,HTML listing,https://www.pittmeadows.ca/engineering/capital-projects,,future project / active,html_listing,Future_Projects,public,1,
SRC-095,Surrey Capital Construction Projects,D_capital_future_infrastructure,City of Surrey,Surrey,HTML listing,https://www.surrey.ca/city-government/capital-construction-projects,,future project / active,html_listing,Future_Projects,public,1,Use to catch projects before they go to tender. | Source 17 is FutureWorks GIS layer; this is the project listing page with status updates. Different workflow.
SRC-096,Surrey School District 5-year Capital Plan,D_capital_future_infrastructure,Surrey School District,Surrey / Surrey / White Rock,HTML listing / HTML + PDFs,https://www.surreyschools.ca/capital-plan,https://www.surreyschools.ca/board-approves-2026-27-five-year-capital-plan-requesting-5-7b-for-student-space-needs.186802,future project / capital plan / future project,html_listing / pdf_manual,Future_Projects,public,1,High concentration of work in TENDER_FINDER’s Tier-1 geography; worth treating as a separate school-capital layer.
SRC-097,Township of Langley Capital Projects,D_capital_future_infrastructure,Township of Langley,Township of Langley,HTML listing,https://www.tol.ca/en/engineering/capital-projects.aspx,,future project / active,html_listing,Future_Projects,public,1,
SRC-098,TransLink Plans and Projects,D_capital_future_infrastructure,TransLink,Metro Vancouver,HTML project hub,https://www.translink.ca/plans-and-projects,,future project / capital plan,html_listing,Future_Projects,public,1,Distinct from TransLink Capital/Investment Plan by focusing on named projects and corridors.
SRC-099,TransLink Upcoming Procurement Opportunities,D_capital_future_infrastructure,TransLink,Metro Vancouver,HTML listing,https://www.translink.ca/about-us/doing-business-with-translink/upcoming-procurement-opportunities,,procurement forecast,html_listing,Future_Projects,public,1,Source 9 is Ariba active opportunities; this is the forecast page.
SRC-100,BC Ferries terminal and infrastructure projects hub,H_utilities_crown_port_airport,BC Ferries,BC coastal network (incl. Horseshoe Bay etc.),HTML project hub,https://www.bcferriesprojects.ca,https://www.bcferriesprojects.ca/horseshoe-bay-terminal-essential-infrastructure-improvements,future project / capital plan,html_listing,Future_Projects,public,1,No BC Ferries-specific pipeline entry exists yet; this is the early-signal layer for terminal infrastructure.
SRC-101,BC Hydro Registered Civil Contractor List & Application,H_utilities_crown_port_airport,BC Hydro,Province-wide (strong Lower Mainland presence),HTML listing + PDF + form,https://www.bchydro.com/work-with-us/suppliers/civil-contractor-list.html,https://www.bchydro.com/work-with-us/suppliers/civil-contractor-list/civil-contractor-application.html,GC invite / qualification,html_listing,Future_Projects,public,1,Existing register has BC Hydro capital/project pipeline but not this prequalification gate; distinct workflow for eligibility and owner engagement.
SRC-102,FortisBC Major Projects / Capital Pipeline,H_utilities_crown_port_airport,FortisBC,Lower Mainland / Fraser Valley,HTML listing,https://www.fortisbc.com/about-us/major-projects,https://www.fortisbc.com/about-us/major-projects/tilbury-lng-projects,future project,html_listing,Future_Projects,public,1,Excellent upstream lead source for civil infrastructure rerouting. | N/A
SRC-103,Metro Vancouver Drinking Water Construction Projects,H_utilities_crown_port_airport,Metro Vancouver / Greater Vancouver Water District,Metro Vancouver,HTML listing,https://metrovancouver.org/services/water/construction-projects,,active project / future project,html_listing,Future_Projects,public,1,Subsource of Metro Vancouver Capital Program but at project-execution layer; worth a separate entry.
SRC-104,Metro Vancouver Liquid Waste Projects & Initiatives,H_utilities_crown_port_airport,Metro Vancouver / Greater Vancouver Sewerage and Drainage District,Metro Vancouver,HTML + PDFs,https://metrovancouver.org/services/liquid-waste/projects-and-initiatives,https://metrovancouver.org/services/liquid-waste/north-shore-wastewater-treatment-plant-project,active project / capital plan,html_listing,Future_Projects,public,1,Complements existing Metro Vancouver capital entry with project-level granularity for liquid waste.
SRC-105,Port of Vancouver capital and trade corridor project pages,H_utilities_crown_port_airport,Vancouver Fraser Port Authority,Port of Vancouver / Delta / Surrey,HTML project pages + IAAC registry,https://www.portvancouver.com,https://iaac-aeic.gc.ca/050/evaluations/proj/81710?culture=en-CA,future project / procurement forecast,manual_p3,Future_Projects,public,1,Port-specific pipeline entry complements generic news/PR sources with official project pages and assessment filings.
SRC-106,Roberts Bank Terminal 2 Landmass and Wharf project,H_utilities_crown_port_airport,Infrastructure BC / Vancouver Fraser Port Authority,Delta / Lower Mainland,HTML listing,https://www.infrastructurebc.com/project/roberts-bank-terminal-2-landmass-and-wharf-project/,,future project,html_listing,Future_Projects,public,1,"Use as dedicated major-project watchlist. | Related to generic Infrastructure BC / port channels already in baseline, but this project-specific page is too important not to track separately."
SRC-107,YVR Construction Contractors briefing guide / gateway,H_utilities_crown_port_airport,Vancouver Airport Authority,YVR (Richmond) / YVR / Richmond,PDF + HTML / HTML listing,https://www.yvr.ca/en/business/work-with-yvr/construction-contractors,,procurement process / GC invite / procurement forecast,pdf_manual / manual_p3,Future_Projects,public,1,Existing register has YVR as client but not this detailed procurement/process document. | Better as relationship / onboarding workflow than scraper. | —
SRC-108,YVR Master Plan and capital program documents,H_utilities_crown_port_airport,Vancouver Airport Authority,YVR,PDF,https://www.yvr.ca/-/media/yvr/documents/community/yvr_masterplan.pdf,https://www.yvr.ca/-/media/yvr/documents/master-plan/yvr-2037-master-plan.pdf,capital plan / future project,pdf_manual,Future_Projects,public,1,Complementary to active tenders; sits in future pipeline layer of taxonomy.
SRC-109,Fraser Health Capital Projects,J_institutional_public_sector,Fraser Health,Fraser Health / Fraser Health region,HTML listing / HTML project pages,https://www.fraserhealth.ca/about-us/capital-projects,https://www.fraserhealth.ca/capital-projects; https://www.fraserhealth.ca/about-us/our-development-projects; https://www.fraserhealth.ca/capital-projects/projects; https://www.fraserhealth.ca/capital-projects/projects/Langley-Medical-Imaging-Facility,future project / future project / capital plan,html_listing / manual_p3,Future_Projects,public,1,Sits between provincial capital announcements and FH Bids&Tenders; ideal early-signal layer. | More useful for pipeline than immediate tender capture. | —
SRC-110,Langley SD Capital Plan / Long-Range Facilities Plan,J_institutional_public_sector,School District 35 (Langley),Township of Langley / City of Langley,HTML + PDFs,https://www.sd35.bc.ca/capital-plan,,capital plan / future project,pdf_manual,Future_Projects,public,1,Very tightly aligned with TENDER_FINDER’s core geography and subdivision growth areas.
SRC-111,Nch’ḵay Development Projects,I_first_nations_indigenous_infrastructure,Nch’ḵay Development Corporation,Vancouver / Squamish Nation lands / Vancouver / North Shore / Squamish Nation projects,HTML listing / RSS,https://nchkay.com/,https://www.nchkay.com/areasofwork/; https://www.nchkay.com/category/quarterly-community-updates/feed/; https://nchkay.com/projects/; https://www.nchkay.com/wp-content/uploads/2025/05/Spring-QU-2025_FINAL_compressed.pdf,developer pipeline / news / early signal,html_listing / rss_feed,Future_Projects,public,1,Important strategic source for Metro Vancouver land development. | Best connector candidate among Indigenous development sources. | —
SRC-112,Semiahmoo FN community infrastructure and housing announcements,I_first_nations_indigenous_infrastructure,Semiahmoo First Nation / Indigenous Services Canada,Surrey / White Rock,news releases,https://www.canada.ca/en/indigenous-services-canada/news/2026/01/semiahmoo-first-nation-advances-community-infrastructure-to-support-future-housing.html,,FN infrastructure / housing,manual_p3,Future_Projects,public,1,Track for timing of on-reserve works and access roads in TENDER_FINDER’s Tier-1 geography.
SRC-113,Semiahmoo First Nation Economic Development,I_first_nations_indigenous_infrastructure,Semiahmoo First Nation,Surrey / White Rock,HTML listing,https://www.sfns.ca/economic-development,,developer pipeline,html_listing,Future_Projects,public,1,
SRC-114,Squamish Nation Planning & Capital Projects,I_first_nations_indigenous_infrastructure,Squamish Nation,North Vancouver / West Vancouver / North Shore / Squamish area,HTML listing / HTML,https://www.squamish.net/divisions/community-services/planning-capital-projects/,,future project / FN infrastructure / future projects,html_listing / manual_p3,Future_Projects,public,1,Department mandate covers growing communities via heavy capital infrastructure. | First Nations not captured under generic municipal entries; new category I for Indigenous infrastructure. | N/A
SRC-115,Tsawwassen First Nation Major Development Program backgrounder,I_first_nations_indigenous_infrastructure,Tsawwassen First Nation,"TFN lands, Delta",PDF backgrounder,https://tsawwassenfirstnation.com/wp-content/uploads/2019/07/TFN_Backgrounder_Moving_Forward-FINAL.pdf,,developer pipeline / FN infrastructure,pdf_manual,Future_Projects,public,1,High-impact civil pipeline on TFN lands; good for long-term BD and JV thinking.
SRC-116,Tsawwassen First Nation planning/development and industrial lands,I_first_nations_indigenous_infrastructure,Tsawwassen First Nation (TFN),Delta / Tsawwassen / Delta / Tsawwassen Lands,HTML listing / PDF,https://tsawwassenfirstnation.com/,https://tsawwassenfirstnation.com/portfolio/planning-and-development/; https://tsawwassenfirstnation.com/wp-content/uploads/2026/06/RFP-%E2%80%93-4456-Salish-Sea-Way-Phase-2A-Industrial-Lands.pdf; https://tsawwassenfirstnation.com/phase-2-industrial-lands-opportunity-launched-at-4456-salish-sea-way/; https://tsawwassenfirstnation.com/pdfs/TFN-Program-Services/Business-Development/Development-Applications/Land_Development_Process_2012.pdf,developer pipeline / development application / future project,html_listing / pdf_manual,Future_Projects,public,1,High-return civil scope adjacent to Deltaport and Roberts Bank corridor. | One of the most directly useful Indigenous-land sources for TENDER_FINDER. | Treat as manual review PDF source.
SRC-117,Adera Development Projects,K_private_developer_pipeline,Adera Development,Lower Mainland,HTML listing,https://www.adera.com/projects/,,developer pipeline,html_listing,Future_Projects,public,1,
SRC-118,Anthem Properties project news / portfolio,K_private_developer_pipeline,Anthem Properties,Lower Mainland / Surrey / Burnaby / Coquitlam / Metro Vancouver,HTML listing,https://anthemproperties.com/projects/,https://anthemproperties.com/news/?_category=projects; https://anthemproperties.com/property/georgetown/,developer pipeline,html_listing,Future_Projects,public,1,"Strong Surrey relevance via Georgetown. | Same umbrella as developer news, but Anthem’s own project/news pages are specific and timely enough to justify a separate row."
SRC-119,Beedie Fraser Mills master-planned community,K_private_developer_pipeline,Beedie,Coquitlam waterfront,HTML,https://www.beedie.ca/residential/fraser-mills-master-planned-community/,,developer pipeline,manual_p3,Future_Projects,public,1,Major long-horizon civil opportunity in Coquitlam with repeated phases.
SRC-120,Beedie industrial land/development portfolio,K_private_developer_pipeline,Beedie Development Group,Fraser Valley / Metro Vancouver / Lower Mainland / Metro Vancouver / Fraser Valley / Delta / industrial market,HTML listing,https://www.beedie.ca/industrial/,https://beediegroup.com/development/; https://www.beedie.ca/industrial-real-estate/; https://www.beedie.ca/industrial-real-estate/parkwood-industrial-estates-build-to-suit-delta/,developer pipeline,html_listing,Future_Projects,public,1,Allows TENDER_FINDER to position for earthworks prior to general GC bidding. | High priority private-sector source for Delta / industrial-civil opportunities. | N/A
SRC-121,Concert Properties Metro Vancouver projects,K_private_developer_pipeline,Concert Properties,Lower Mainland / Metro Vancouver,HTML listing / HTML,https://www.concertproperties.com/projects/,https://www.concertproperties.com/condos/metro-vancouver,developer pipeline,html_listing / manual_p3,Future_Projects,public,1,Target for long-term relationship mapping on urban sites.
SRC-122,Darwin Properties Developments,K_private_developer_pipeline,Darwin Properties,Lower Mainland,HTML listing,https://www.darwinproperties.com/developments,,developer pipeline,html_listing,Future_Projects,public,1,
SRC-123,Mosaic Homes communities / properties,K_private_developer_pipeline,Mosaic Homes,"Lower Mainland / Coquitlam, Port Moody, Vancouver, North Vancouver",HTML listing / HTML,https://mosaichomes.com/communities/,https://mosaichomes.com/property/,developer pipeline,html_listing / manual_p3,Future_Projects,public,1,Adds another repeat developer pipeline in TENDER_FINDER’s footprint.
SRC-124,Onni projects / new homes pipeline,K_private_developer_pipeline,Onni Group,Lower Mainland / Metro Vancouver,HTML listing / HTML,https://www.onni.com/projects/,https://onni.com/new-homes/,developer pipeline,html_listing / manual_p3,Future_Projects,public,1,Conceptually overlaps with 'Developer Announcements / Land Assembly' but is a concrete project list; treat as sub-source.
SRC-125,Polygon Homes active/selling/upcoming communities,K_private_developer_pipeline,Polygon Homes,Lower Mainland / Fraser Valley / Lower Mainland / Metro Vancouver / Fraser Valley,HTML listing / HTML,https://polyhomes.com/,https://www.polygonhomes.com/communities/; https://polyhomes.com/homes/,"developer pipeline / (filtered ""Coming Soon"")",html_listing / manual_p3,Future_Projects,public,1,Critical upstream lead source for subdivision land stripping and grading. | Gives forward visibility on Polygon land positions by location and product type. | N/A
SRC-126,Qualico Communities BC pipeline,K_private_developer_pipeline,Qualico Communities BC,Surrey / Langley (Tier 1) / Lower Mainland / Fraser Valley / Metro Vancouver / Surrey and region,HTML listing,https://qualicocommunitiesbc.com/,https://www.qualico.com/communities/; https://www.qualico.com/business-unit/qualico-communities-bc; https://www.qualico.com/our-company/locations/metro-vancouver,developer pipeline / (filter BC),html_listing,Future_Projects,public,1,Prime private developer client tracking for Tier 1 earthworks. | Medium priority versus Beedie / Wesgroup / Anthem. | N/A
SRC-127,Wesgroup master-planned districts / River District,K_private_developer_pipeline,Wesgroup Properties,Lower Mainland / SE Vancouver / Surrey / Vancouver / Port Moody / North Shore,HTML listing / HTML,https://wesgroup.ca/properties/,https://wesgroup.ca/river-district/; https://wesgroup.ca/districts/,developer pipeline,html_listing / manual_p3,Future_Projects,public,1,"One of the largest ongoing community builds in Vancouver; worth its own entry. | Focus on River District, Civic District, and other masterplan pages. | Owner-specific project portfolio is materially more useful than generic developer news coverage."
SRC-128,"Katzie Housing, Infrastructure and Public Works Newsletter",I_first_nations_indigenous_infrastructure,Katzie First Nation,Maple Ridge / Pitt Meadows area,HTML listing,https://katzie.ca/project/housing-infrastructure-and-public-works-newsletter-may-8-2026/,,news / early signal,html_listing,Run_Queue,public,1,Review-driven source rather than scrape-first source. | —
SRC-129,Semiahmoo Development Corp partnerships / business inquiries,I_first_nations_indigenous_infrastructure,Semiahmoo First Nation / Se-mi-ah-mu Development Corp,Surrey / White Rock,manual research,https://www.semiahmoofirstnation.ca/partnerships,https://www.semiahmoofirstnation.ca/agreements-1,developer pipeline,manual_p3,Run_Queue,public,1,This is more relationship intelligence than automatable feed. | —
SRC-130,Hall Constructors Subcontractor ITB / prequalification channel,F_gc_developer_invites,Hall Constructors,Lower Mainland / Fraser Valley / BC,other / web form,https://hallconstructors.com/,https://www.hallconstructors.com/subcontractors,GC invite,email_forwarded / manual_p3,Run_Queue,login_required / public,1,Requires manual ITB inbox onboarding for estimator team. | N/A
SRC-131,Jacob Bros Construction Subcontractor Prequalification,F_gc_developer_invites,Jacob Bros Construction,British Columbia / Lower Mainland / Lower Mainland / BC,other / web form,https://jacobbros.ca/subcontractors/,,GC invite,email_forwarded / manual_p3,Run_Queue,login_required / public,1,Key partnership route for large-scale public infrastructure sub-contracts. | N/A
SRC-132,Maple Ridge Contract Registry Search,A_active_tender,City of Maple Ridge,Maple Ridge,HTML listing,https://www.mapleridge.ca/build-do-business/bid-opportunities/contract-registry-search,,award notice,html_listing,Bulk_Intake_Raw,public,1,"This is an award / contract-history source, not just a live-tender page. | —"
SRC-133,City of Langley Council Agendas,C_council_agendas,City of Langley,City of Langley,HTML listing,https://www.langleycity.ca/city-hall/council-meetings,,rezoning/development application,html_listing,Bulk_Intake_Raw,public,1,
SRC-134,Pitt Meadows Council Agendas,C_council_agendas,City of Pitt Meadows,Pitt Meadows,HTML listing,https://www.pittmeadows.ca/city-hall/council-meetings,,rezoning/development application,html_listing,Bulk_Intake_Raw,public,1,
SRC-135,Township of Langley Council Agendas,C_council_agendas,Township of Langley,Township of Langley,HTML listing,https://www.tol.ca/en/council/council-meetings.aspx,,rezoning/development application,html_listing,Bulk_Intake_Raw,public,1,
SRC-136,KPU Bid Award Notices and Prequalified Supplier Lists,J_institutional_public_sector,Kwantlen Polytechnic University,Surrey / Langley / Richmond / Cloverdale,HTML listing,https://www.kpu.ca/procurement/bid-award-notices,,award notice,html_listing,Bulk_Intake_Raw,public,1,Good incumbent and partner-identification source. | —
SRC-137,Bird Construction Subcontractor Portal,F_gc_developer_invites,Bird Construction,Canada-wide / BC,web form,https://www.bird.ca/subcontractors/,,GC invite,manual_p3,Paid_Intelligence,public,1,
SRC-138,Chandos Construction Subcontractors,F_gc_developer_invites,Chandos Construction,Western Canada / BC,web form,https://www.chandos.com/subcontractors/,,GC invite,manual_p3,Paid_Intelligence,public,1,
SRC-139,Kiewit supplier registration / GEP SMART / Business With Us,F_gc_developer_invites,Kiewit,North America / BC / Global including BC / Canada / North America,web form / PDF guide + portal / HTML listing,https://www.kiewit.com/suppliers/,https://www.kiewit.com/wp-content/uploads/2025/11/Supplier-Registration-Guide-English.pdf; https://www.kiewit.com/business-with-us/; https://www.kiewit.com/business-with-us/opportunities/,GC invite / GC invite / prequalification,paid_login_stub / manual_p3,Paid_Intelligence,login_required / public guide + login portal / public_with_filters,1,"GC portals are conceptually in register, but Kiewit’s SMART is unique and crucial for BC MoTI megaprojects. | Best for subcontractor registration and opportunity awareness, not scraping. | Same logic as Turner: not a new concept, but a valuable specific GC workflow."
