source_name,category,source_register_url,has_coded_connector,connector_name,connector_type,connector_status,automation_feasibility,access_method,access_status,notes
Metro Vancouver — Capital Program,D — Capital plans / future infrastructure,https://metrovancouver.org/services/liquid-waste/procurement,NO,NONE,N/A,N/A,Medium,Public web/PDF + open data,Verified,"[usefulness est.: High] Regional drinking-water / wastewater capital = direct civil scope (mains, treatment)"
TransLink Capital / Investment Plan,D — Capital plans / future infrastructure,https://translink.ca/plans-and-projects,NO,NONE,N/A,N/A,Low,Public web / PDF,Verified,"[usefulness est.: High] Surrey-Langley SkyTrain, BRT corridors, Major Road Network rehab, bridges — major roadworks/civil in TENDER_FINDER geography | Original URL/portal text preserved for review: translink.c"
BuildingConnected / GC ITBs,F — GC / developer invitation channels,https://www.buildingconnected.com,NO,NONE,N/A,N/A,Medium,Email (auto-forward),Verified,[usefulness est.: High] Tier-3 GC ITB channel — not in any portal. Route to shared inbox
Estimator Inbox Auto-Forward,F — GC / developer invitation channels,N/A,NO,NONE,N/A,N/A,High (once set),Email rule / distribution list,Verified,Estimator inbox auto-forward Phase 0. If IT blocks auto-forward → shared-mailbox delegation | Original URL/portal text preserved for review: estimating@example.com
Known GC / Developer Subcontractor Portals,F — GC / developer invitation channels,N/A,NO,NONE,N/A,N/A,Med,Web / registration + direct relationship,Verified,[usefulness est.: High] Scope-list clients. Register on sub portals where available | Original URL/portal text preserved for review: respective company sites
Journal of Commerce / Top BC Projects,G — News / early-signal sources,https://canada.constructconnect.com/joc,NO,NONE,N/A,N/A,Medium,Free newsletter + web,Working,[usefulness est.: High] BC construction news + daily top-10 BC projects (civil-inclusive). Strong free early signal | Original URL/portal text preserved for review: canada.constructconnect.com/joc
BC Housing Opportunities,A — Active tender portals,https://www.bcbid.ca,NO,NONE,N/A,N/A,Med,Via BC Bid alerts,Verified,Housing opportunities Register on BC Bid to receive BC Housing notices
BidCentral,A — Active tender portals,https://www.bidcentral.ca,NO,NONE,N/A,N/A,Medium,Notifications (premium),Verified,"[usefulness est.: High] BC's largest construction bidding marketplace. Most defensible paid add-on, but only after Test #1 + Example Reviewer verdict"
CanadaBuys,A — Active tender portals,https://canadabuys.canada.ca,NO,NONE,N/A,N/A,Med-High,Email alert,Inferred,CanadaBuys (federal) Captures YVR / Port / federal civil. PBN needed to submit
City of Vancouver Supplier Portal,A — Active tender portals,https://vancouver.ca/doing-business/bids-contracts-rfps-purchase-orders.aspx,NO,NONE,N/A,N/A,Medium,Portal / alerts,Verified (registration),[usefulness est.: Med] Vancouver runs its own system in addition to shared portals
Metro Vancouver — Procurement,A — Active tender portals,https://metrovancouver.org,NO,NONE,N/A,N/A,Medium,Portal / alerts,Not tested,Vancouver procurement Regional drinking-water / wastewater civil work | Original URL/portal text preserved for review: metrovancouver.org (procurement)
TransLink Ariba Procurement,A — Active tender portals,https://translink.ca,NO,NONE,N/A,N/A,Medium,Portal / alerts,Verified (registration),[usefulness est.: Med] -High Transit + Major Road Network civil. Ties to capital plan | Original URL/portal text preserved for review: translink.ca + SAP Ariba
Abbotsford Development / Open Data,B — Municipal development applications,https://opendata-abbotsford.hub.arcgis.com,YES,abbotsford_devapps,arcgis_hub_discover,DATASET_CONFIRMED,High,ArcGIS hub + map + HTML (instream list),Verified,[usefulness est.: Med] Largest FV market. Structured layer + Instream Development Applications list | Original URL/portal text preserved for review: opendata-abbotsford.hub.arcgis.com + WebMap
Burnaby Open Data / Capital Projects,B — Municipal development applications,https://data.burnaby.ca,YES,burnaby_devapps,arcgis_hub_discover,ROOT_CONFIRMED_DATASET_TO_VERIFY,Med-High,open data + map + capital/land-dev tracker,Verified,[usefulness est.: Med] Tracker covers roads / water / sewer / drainage capital + land development | Original URL/portal text preserved for review: data.burnaby.ca + BurnabyMap
Chilliwack Development / Planning,B — Municipal development applications,https://chilliwack.com,NO,NONE,N/A,N/A,Medium,map + open data (inferred),Verified,Platform inferred. Growing FV market | Original URL/portal text preserved for review: chilliwack.com (maps / open data)
Coquitlam Development Information Portal,B — Municipal development applications,https://data.coquitlam.ca,YES,coquitlam_devapps,arcgis_hub_discover,ROOT_CONFIRMED_DATASET_TO_VERIFY,High,ArcGIS open data + Esri Experience (structured),Working,Coquitlam — Dev Information Portal | Original URL/portal text preserved for review: data.coquitlam.ca + experience.arcgis.com (Dev Info Portal)
Delta Current Development Applications,B — Municipal development applications,https://delta.ca,YES,delta_devapps,arcgis_hub_discover,ROOT_CONFIRMED_DATASET_TO_VERIFY,Medium,map + PDF/HTML list (DP/RZ ##-##),Verified,[usefulness est.: Med] -High Port / industrial relevance (DP World). Current-applications list + DeltaMap | Original URL/portal text preserved for review: delta.ca + DeltaMap
New Westminster Open Data,B — Municipal development applications,https://opendata.newwestcity.ca,YES,new_west_currentdev,arcgis_hub_discover,DATASET_CONFIRMED,High,ArcGIS open data (permits) + map,Verified,New Westminster — open data Building / plumbing permits dataset + City Maps
Richmond Current Development Applications,B — Municipal development applications,https://richmond.ca/business-development/devzoning/currentdevapps.htm,NO,NONE,N/A,N/A,Medium,HTML list (LLM) + map + open data,Verified,"[usefulness est.: Med] -High 'Development Applications in Process' HTML, updated regularly. Industrial / airport-adjacent civil | Original URL/portal text preserved for review: richmond.ca/business-de"
Vancouver Issued Building Permits,B — Municipal development applications,https://opendata.vancouver.ca/explore/dataset/issued-building-permits,YES,van_building_permits,ods_v21,CONFIRMED,High,API (Opendatasoft v2.1) + export,Verified,"Lagging signal (issued, not applied). API console: opendata.vancouver.ca/api/explore/v2.1/console | Original URL/portal text preserved for review: https://opendata.vancouver.ca/explore/dataset/issued-"
Vancouver Open Data,B — Municipal development applications,https://opendata.vancouver.ca,YES,van_city_projects,ods_v21,CONFIRMED,High,API / open data,Verified,[usefulness est.: Med] Dev / rezoning datasets via API. Already wired into tenderfinder_agent2.py | Original URL/portal text preserved for review: opendata.vancouver.ca + VanMap
Maple Ridge Council Agendas,C — Council / committee agendas,https://www.mapleridge.ca,NO,NONE,N/A,N/A,Low,Web / PDF (LLM-read),Inferred,Ridge council agendas Pairs with the Active Dev Applications dataset (B3)
Municipal Council / Committee Agendas,C — Council / committee agendas,N/A,NO,NONE,N/A,N/A,Medium,Public PDF/HTML (LLM) + some RSS,Verified,"[usefulness est.: High] Servicing agreements, subdivision approvals, capital-tender awards. The council-only fallback where no structured dev-app data exists (Pitt Meadows, villages). Prompt 2 handles"
Infrastructure BC Major Projects,D — Capital plans / future infrastructure,https://www.infrastructurebc.com,NO,NONE,N/A,N/A,Low,Web / PDF,Verified,[usefulness est.: High] Public-sector only
Municipal Capital Plans / Financial Plans,D — Capital plans / future infrastructure,N/A,NO,NONE,N/A,N/A,Low,Public PDF,Verified,[usefulness est.: Med] -High Roads / water / sewer / drainage upgrades by municipality. In budget docs | Original URL/portal text preserved for review: per-city budget / finance page
ConstructConnect / Daily Commercial News,E — Paid intelligence,https://constructconnect.com,NO,NONE,N/A,N/A,Medium,Subscription (login),Paid,[usefulness est.: Med] Sub bid management + ITB + Bid Center (free tier). Skews commercial/vertical | Original URL/portal text preserved for review: constructconnect.com
Procore GC Bid Invitations,F — GC / developer invitation channels,https://procore.com,NO,NONE,N/A,N/A,Medium,Email (auto-forward),Needs auto-forward,Procore — GC bid invitations Some GCs invite subs via Procore | Original URL/portal text preserved for review: procore.com (received via GCs)
SmartBid / iSqFt / TradeTapp,F — GC / developer invitation channels,N/A,NO,NONE,N/A,N/A,Med,Email → auto-forward,Verified,[usefulness est.: High] Same email-capture pattern as BuildingConnected | Original URL/portal text preserved for review: vendor
Daily Hive Urbanized,G — News / early-signal sources,https://dailyhive.com/vancouver/urbanized,NO,NONE,N/A,N/A,Low,Free web,Working,Project pipeline / completion news | Original URL/portal text preserved for review: dailyhive.com/vancouver/urbanized
SiteNews,G — News / early-signal sources,https://readsitenews.com,NO,NONE,N/A,N/A,Low,Free newsletter / web,Working,Trends / projects / people | Original URL/portal text preserved for review: readsitenews.com
Storeys,G — News / early-signal sources,https://storeys.com,NO,NONE,N/A,N/A,Low,Free web,Working,Residential / development pipeline early signal | Original URL/portal text preserved for review: storeys.com
Biddingo,A — Active tender portals,https://biddingo.com,NO,NONE,N/A,N/A,Low,Portal / alerts,Paid,MASH sector | Original URL/portal text preserved for review: biddingo.com
GovBid (aggregator),A — Active tender portals,https://govbid.ca,NO,NONE,N/A,N/A,Med,Free Email-alert,Verified,[usefulness est.: Med] Supplementary safety-net. Агрегаторы могут отставать/пропускать — не как источник истины | Original URL/portal text preserved for review: govbid.ca
MERX,A — Active tender portals,https://merx.com,NO,NONE,N/A,N/A,Low,Portal / alerts,Paid,Aggregator | Original URL/portal text preserved for review: merx.com
City of North Vancouver,B — Municipal development applications,https://cnv.org,NO,NONE,N/A,N/A,Medium,map + open data (inferred),Verified,North Vancouver City Platform inferred (Esri). Verify dev-app layer | Original URL/portal text preserved for review: cnv.org (maps / open data)
District of North Vancouver GEOweb,B — Municipal development applications,https://geoweb.dnv.org,YES,dnv_devapps,arcgis_map_discover,REST_CONFIRMED_LAYER_TO_VERIFY,Medium,Esri GEOweb (map + downloadable SHP/KML),Working,North Vancouver District — GEOweb Weekly automated refresh | Original URL/portal text preserved for review: geoweb.dnv.org
Mission Development / Planning,B — Municipal development applications,https://mission.ca,NO,NONE,N/A,N/A,Low,map + council (inferred),Verified,Platform inferred | Original URL/portal text preserved for review: mission.ca (maps + council)
Port Moody Development / Planning,B — Municipal development applications,https://portmoody.ca,NO,NONE,N/A,N/A,Low,map + council (inferred),Verified,Platform inferred. Verify | Original URL/portal text preserved for review: portmoody.ca (maps + council)
Small Municipalities / Village Sources,B — Municipal development applications,N/A,NO,NONE,N/A,N/A,Manual-only,council-only,Not tested,Villages (Bowen / Anmore / Belcarra / Lions Bay) Very low civil volume. Monitor council agendas opportunistically only | Original URL/portal text preserved for review: respective municipal sites
West Vancouver Development / Planning,B — Municipal development applications,https://westvancouver.ca,NO,NONE,N/A,N/A,Low,map-only (inferred),Verified,Platform inferred. Lower civil volume | Original URL/portal text preserved for review: westvancouver.ca (maps)
White Rock Development / Planning,B — Municipal development applications,https://whiterockcity.ca,NO,NONE,N/A,N/A,Low,council + map (inferred),Verified,Council agendas + map | Original URL/portal text preserved for review: whiterockcity.ca (maps + council)
BC Budget Capital Plan,D — Capital plans / future infrastructure,https://bcbudget.gov.bc.ca,NO,NONE,N/A,N/A,Low,Public PDF,Working,BC Budget — Capital Plan Provincial capital envelope context | Original URL/portal text preserved for review: bcbudget.gov.bc.ca
BC Hydro Capital / Project Pipeline,D — Capital plans / future infrastructure,https://bchydro.com,NO,NONE,N/A,N/A,Low,Web / PDF,Verified,"[usefulness est.: Med] Реже civil-релевантно, но крупные site/earthwork эпизоды | Original URL/portal text preserved for review: bchydro.com (projects)"
Infrastructure Canada / Public Transit Fund,D — Capital plans / future infrastructure,https://housing-infrastructure.canada.ca/cptf-ftcc/index-eng.html,NO,NONE,N/A,N/A,Low,Public web + RSS,Working,Infrastructure Canada / Canada Public Transit Fund Early funding signal for upcoming regional projects | Original URL/portal text preserved for review: canada.ca (INFC)
Dodge Construction Network,E — Paid intelligence,https://construction.com,NO,NONE,N/A,N/A,Low,Subscription (login),Paid,Strong for EARLY pre-planning commercial intelligence + forecasting. Vertical-skewed — evaluate vs. TENDER_FINDER civil scope before buying | Original URL/portal text preserved for review: construction.com
LeadManager,E — Paid intelligence,N/A,NO,NONE,N/A,N/A,Low,Paid-login,Verified,[usefulness est.: Med] Вторично после BidCentral | Original URL/portal text preserved for review: (BCI LeadManager — verify)
PermitsCA,E — Paid intelligence,N/A,NO,NONE,N/A,N/A,Low-Med,Web portal,Inferred,Bundled in BCCA suite with BidCentral | Original URL/portal text preserved for review: (verify exact URL)
PlanHub,E — Paid intelligence,https://planhub.com,NO,NONE,N/A,N/A,Low,Freemium (login),Paid,Subcontractor bid-invitation platform | Original URL/portal text preserved for review: planhub.com
Developer Announcements / Land Assembly,F — GC / developer invitation channels,N/A,NO,NONE,N/A,N/A,Low,Web / News,Verified,[usefulness est.: Med] Ранний сигнал для subcontract-канала. Совпадение с known-clients повышает приоритет | Original URL/portal text preserved for review: developer sites / news
Business in Vancouver / Western Investor,G — News / early-signal sources,https://www.biv.com,NO,NONE,N/A,N/A,Low-Med,Free + paywall web,Verified,[usefulness est.: Med] Commercial real estate + land-deal early signal
Client / FN / Port PR Channels,G — News / early-signal sources,N/A,NO,NONE,N/A,N/A,Low,Web / News,Verified,[usefulness est.: Med] -High Client-adjacent. YVR/MoTI/Semiahmoo/Katzie — известные клиенты/гео | Original URL/portal text preserved for review: (owner/client sites)
Daily Commercial News,G — News / early-signal sources,https://canada.constructconnect.com/dcn,NO,NONE,N/A,N/A,Low,RSS / web,Inferred,Award/start news can confirm pipeline timing
Local News / Community Papers,G — News / early-signal sources,N/A,NO,NONE,N/A,N/A,Med,RSS / web,Verified,[usefulness est.: Med] Hyper-local groundbreakings | Original URL/portal text preserved for review: various
Municipal News / Press Releases,G — News / early-signal sources,N/A,NO,NONE,N/A,N/A,Low,RSS / web,Inferred,Municipal news / press releases Confirms timing | Original URL/portal text preserved for review: municipal sites
City of Langley Bids & Tenders endpoint,A — Active tender portals,https://langleycity.bidsandtenders.ca,NO,NONE,N/A,N/A,Candidate,html_listing,public,Direct City of Langley bids&tenders feed.
City of Richmond Bids & Tenders endpoint,A — Active tender portals,https://richmond.bidsandtenders.ca,NO,NONE,N/A,N/A,Candidate,ods_v21 / html_listing,public,Pristine structured JSON data feed. | Baseline #3 generic; this exact endpoint isolates high-water-table civil works. | Original official_url text preserved for review: https://richmond.bidsandtenders
City of Surrey Bids & Tenders / RFQ-RFP owner endpoint,A — Active tender portals,https://surrey.bidsandtenders.ca,NO,NONE,N/A,N/A,Candidate,ods_v21 / html_listing,public,"Pristine structured data feed for automated run queues. | Operates in tandem with City of Surrey portal for educational facilities. | ""List includes RFPs for civil works; monitor for new postings."" | "
Fraser Valley Regional District Tenders & RFPs with RSS,A — Active tender portals,https://www.fvrd.ca/EN/main/government/tenders-rfps.html,NO,NONE,N/A,N/A,Candidate,rss_feed,public,"Uses BC Bid or other platforms downstream but FVRD RSS is a distinct, easily-filtered feed worth explicit tracking. | Use the page plus RSS if building a connector. | —"
Maple Ridge Bid Opportunities / bids&tenders endpoint,A — Active tender portals,https://mapleridge.bidsandtenders.ca,NO,NONE,N/A,N/A,Candidate,html_listing,public,"Good candidate for keyword rules: road, sewer, water, drainage, paving, MMCD. | Direct Maple Ridge bids&tenders feed. | Subsource of broad procurement universe, but easier to operate as an owner-direc"
Pitt Meadows Bids & Tenders endpoint,A — Active tender portals,https://pittmeadows.bidsandtenders.ca,NO,NONE,N/A,N/A,Candidate,html_listing,public,Direct Pitt Meadows bids&tenders feed.
Squamish-Lillooet Regional District Contracting Opportunities,A — Active tender portals,https://www.slrd.bc.ca/inside-slrd/contracting-opportunities,NO,NONE,N/A,N/A,Candidate,html_listing,public,Subsource to BC Bid but includes pre-procurement notices and region-specific context.
Township of Langley Bids & Tenders endpoint,A — Active tender portals,https://tol.bidsandtenders.ca,NO,NONE,N/A,N/A,Candidate,ods_v21 / Active_Tenders,public / html_listing,"Hosts multi-million dollar park and site prep tenders. | ""Separate workflow to capture only TOL opportunities."" | Baseline #3 is generic; this specific endpoint allows direct category filtering for TO"
BC Hydro active bid opportunities / supplier portal workflow,D — Capital plans / future infrastructure,https://www.bchydro.com/work-with-us/supplier-portal.html,NO,NONE,N/A,N/A,Candidate,html_listing,public_with_filters / public,Requires vendor prequalification for heavy civil categories. | Add owner filter plus civil keywords. | Baseline #47 is project pipeline; this is the active supplier bidding platform.
FortisBC contractor/vendor prequalification workflow,D — Capital plans / future infrastructure,https://www.fortisbc.com/about-us/doing-business-with-us/contractor-opportunities,NO,NONE,N/A,N/A,Needs connector / manual review,html_listing / manual_p3,public / public info + paid ISN,Key source for underground utility civil tenders. | Different from generic BC Bid; this is where Fortis prequalifies contractors and collects capability info. | Best handled as vendor-management workf
Port of Vancouver active procurement / MERX workflow,D — Capital plans / future infrastructure,https://www.merx.com/vfpa,NO,NONE,N/A,N/A,Candidate,api_json / html_listing,public_with_filters / public,Requires MERX civil filtering to isolate port earthworks from maritime operations. | N/A
YVR active bidding / airport suppliers / Bonfire procurement endpoint,D — Capital plans / future infrastructure,https://yvr.bonfirehub.ca/portal,NO,NONE,N/A,N/A,Needs connector / manual review,api_json / html_listing / pdf_manual,public / public_with_filters,High-value automated feed for specialized airport heavy civil works. | Major source of civil opportunities at YVR. | Separate workflow from capital master plan and not covered by BC Bid concept alone.
BCIT active procurement / Bonfire / competitive procurement,D — Capital plans / future infrastructure,https://bcit.bonfirehub.ca/opportunities,NO,NONE,N/A,N/A,Candidate,api_json / html_listing,public,Pulls direct civil and quantity surveyor tenders for health science center and site prep. | Lower priority than municipal / utility pages. | N/A
Fraser Health / Lower Mainland Health Authority facilities bids and business opportunities,D — Capital plans / future infrastructure,https://fraserhealth.bidsandtenders.ca,NO,NONE,N/A,N/A,Candidate,ods_v21 / html_listing,public / public_with_filters,Distinct from generic BC Bid; allows direct API monitoring of health infrastructure. | Bidsandtenders Municipal entry does not cover health authorities; this is sector-specific and high-value. | Good 
KPU Procurement Services / current opportunities,D — Capital plans / future infrastructure,https://www.kpu.ca/procurement/Vendor-Help,NO,NONE,N/A,N/A,Candidate,html_listing,public,"Good Langley / Surrey institutional watch source. | Some competitions route through BC Bid or KPU procurement portal, but owner page is still useful."
Langley School District purchasing and tenders,D — Capital plans / future infrastructure,https://www.sd35.bc.ca/purchasing-logistics,NO,NONE,N/A,N/A,Candidate,html_listing,public,"Moderate value; keep it behind municipal and utility sources. | Mostly a BC Bid routing page, but still worth keeping as owner-specific workflow. | Original official_url text preserved for review: htt"
Surrey School District procurement / purchasing endpoint,D — Capital plans / future infrastructure,https://www.surreyschools.ca/procurement,NO,NONE,N/A,N/A,Candidate,html_listing,public,"Lower civil hit-rate than municipalities; keep keyword filters strict. | Mainly points to BC Bid, but owner page is still worth adding because it gives district-specific workflow and contacts."
UBC procurement / Bonfire / current construction opportunities,D — Capital plans / future infrastructure,https://ubc.bonfirehub.ca/portal,NO,NONE,N/A,N/A,Candidate,api_json / html_listing,public / public info + login,Requires free Bonfire vendor registration to pull secured civil drawing packages. | Introduces Bonfire into taxonomy as distinct platform/owner combination. | Treat as secondary source due broad scope
Musqueam Public Works / active bids,D — Capital plans / future infrastructure,https://www.musqueam.bc.ca/departments/land-capital-and-housing/public-works,NO,NONE,N/A,N/A,Candidate,html_listing,public,Also tracks joint Musqueam Creek flood conveyance berm projects. | N/A | Original official_url text preserved for review: https://www.musqueam.bc.ca/departments/land-capital-and-housing/public-works/
Urban Systems Civil Bids & Tenders Portal,F — GC / developer invitation channels,https://urbansystems.bidsandtenders.ca,NO,NONE,N/A,N/A,Candidate,ods_v21,public,Consultant-managed tender board dedicated entirely to heavy civil and earthworks. | N/A | Original official_url text preserved for review: https://urbansystems.bidsandtenders.ca/
BC Hydro Planned Procurement / future contracting page,D — Capital plans / future infrastructure,https://www.bchydro.com/about/suppliers/contracting/planned-procurement.html,NO,NONE,N/A,N/A,Candidate,html_listing,public,
City of Langley Capital Projects,D — Capital plans / future infrastructure,https://www.langleycity.ca/business-development/capital-projects,NO,NONE,N/A,N/A,Candidate,html_listing,public,
Maple Ridge Capital Projects,D — Capital plans / future infrastructure,https://www.mapleridge.ca/engineering/capital-projects,NO,NONE,N/A,N/A,Candidate,html_listing,public,
Metro Vancouver 2025-2029 Financial Plan,D — Capital plans / future infrastructure,https://metrovancouver.org/about-us/Documents/financial-plan-2025-2029.pdf,NO,NONE,N/A,N/A,Needs connector / manual review,pdf_manual,public,Deepens existing Metro Vancouver capital entry with formal financial plan as distinct document source.
Metro Vancouver Construction Projects current/upcoming,D — Capital plans / future infrastructure,https://www.metrovancouver.org/services/construction-projects,NO,NONE,N/A,N/A,Candidate,html_listing,public,Existing source 8 is procurement; 42 is capital plan PDF. This is a dynamic project listing.
Pitt Meadows Capital Projects,D — Capital plans / future infrastructure,https://www.pittmeadows.ca/city-services/transportation-infrastructure,NO,NONE,N/A,N/A,Candidate,html_listing,public,
Surrey Capital Construction Projects,D — Capital plans / future infrastructure,https://www.surrey.ca/city-government/capital-construction-projects,NO,NONE,N/A,N/A,Candidate,html_listing,public,Use to catch projects before they go to tender. | Source 17 is FutureWorks GIS layer; this is the project listing page with status updates. Different workflow.
Surrey School District 5-year Capital Plan,D — Capital plans / future infrastructure,https://www.surreyschools.ca/capital-plan,NO,NONE,N/A,N/A,Needs connector / manual review,html_listing / pdf_manual,public,High concentration of work in TENDER_FINDER’s Tier-1 geography; worth treating as a separate school-capital layer.
Township of Langley Capital Projects,D — Capital plans / future infrastructure,https://www.tol.ca/en/building-development/capital-projects.aspx,NO,NONE,N/A,N/A,Candidate,html_listing,public,
TransLink Plans and Projects,D — Capital plans / future infrastructure,https://www.translink.ca/plans-and-projects,NO,NONE,N/A,N/A,Candidate,html_listing,public,Distinct from TransLink Capital/Investment Plan by focusing on named projects and corridors.
TransLink Upcoming Procurement Opportunities,D — Capital plans / future infrastructure,https://www.translink.ca/about-us/doing-business-with-translink/upcoming-procurement-opportunities,NO,NONE,N/A,N/A,Candidate,html_listing,public,Source 9 is Ariba active opportunities; this is the forecast page.
BC Ferries terminal and infrastructure projects hub,D — Capital plans / future infrastructure,https://www.bcferriesprojects.ca,NO,NONE,N/A,N/A,Candidate,html_listing,public,No BC Ferries-specific pipeline entry exists yet; this is the early-signal layer for terminal infrastructure.
BC Hydro Registered Civil Contractor List & Application,D — Capital plans / future infrastructure,https://www.bchydro.com/work-with-us/suppliers/civil-contractor-list.html,NO,NONE,N/A,N/A,Candidate,html_listing,public,Existing register has BC Hydro capital/project pipeline but not this prequalification gate; distinct workflow for eligibility and owner engagement.
FortisBC Major Projects / Capital Pipeline,D — Capital plans / future infrastructure,https://www.fortisbc.com/about-us/projects-planning,NO,NONE,N/A,N/A,Candidate,html_listing,public,Excellent upstream lead source for civil infrastructure rerouting. | N/A
Metro Vancouver Drinking Water Construction Projects,D — Capital plans / future infrastructure,https://metrovancouver.org/services/water/construction-projects,NO,NONE,N/A,N/A,Candidate,html_listing,public,Subsource of Metro Vancouver Capital Program but at project-execution layer; worth a separate entry.
Metro Vancouver Liquid Waste Projects & Initiatives,D — Capital plans / future infrastructure,https://metrovancouver.org/services/liquid-waste/projects-and-initiatives,NO,NONE,N/A,N/A,Candidate,html_listing,public,Complements existing Metro Vancouver capital entry with project-level granularity for liquid waste.
Port of Vancouver capital and trade corridor project pages,D — Capital plans / future infrastructure,https://www.portvancouver.com,NO,NONE,N/A,N/A,Needs connector / manual review,manual_p3,public,Port-specific pipeline entry complements generic news/PR sources with official project pages and assessment filings.
Roberts Bank Terminal 2 Landmass and Wharf project,D — Capital plans / future infrastructure,https://www.infrastructurebc.com/project/roberts-bank-terminal-2-landmass-and-wharf-project,NO,NONE,N/A,N/A,Candidate,html_listing,public,"Use as dedicated major-project watchlist. | Related to generic Infrastructure BC / port channels already in baseline, but this project-specific page is too important not to track separately. | Origina"
YVR Construction Contractors briefing guide / gateway,D — Capital plans / future infrastructure,https://www.yvr.ca/en/business/work-with-yvr/construction-contractors,NO,NONE,N/A,N/A,Needs connector / manual review,pdf_manual / manual_p3,public,Existing register has YVR as client but not this detailed procurement/process document. | Better as relationship / onboarding workflow than scraper. | —
YVR Master Plan and capital program documents,D — Capital plans / future infrastructure,https://www.yvr.ca/-/media/yvr/documents/community/yvr_masterplan.pdf,NO,NONE,N/A,N/A,Needs connector / manual review,pdf_manual,public,Complementary to active tenders; sits in future pipeline layer of taxonomy.
